team,opponent,home_score,away_score,game_duration,attendance,game_start,game_finish
TOR,DET,2,5,2:35,17392,2011-05-08 13:07:00,2011-05-08 15:42:00
TOR,DET,5,10,3:26,11785,2011-05-09 19:07:00,2011-05-09 22:33:00
TOR,BOS,7,6,3:53,17820,2011-05-10 19:07:00,2011-05-10 23:00:00
TOR,BOS,9,3,2:49,19163,2011-05-11 19:07:00,2011-05-11 21:56:00
TOR,TBR,5,6,3:18,14415,2011-05-18 19:07:00,2011-05-18 22:25:00
TOR,TBR,3,2,2:16,12590,2011-05-19 19:07:00,2011-05-19 21:23:00
TOR,HOU,2,5,3:05,15478,2011-05-20 19:07:00,2011-05-20 22:12:00
TOR,HOU,7,5,2:37,21494,2011-05-21 15:07:00,2011-05-21 17:44:00
TOR,HOU,2,3,2:54,19487,2011-05-22 13:07:00,2011-05-22 16:01:00
TOR,CHW,1,3,2:54,14353,2011-05-26 19:07:00,2011-05-26 22:01:00
TOR,CHW,4,2,2:52,16668,2011-05-27 19:07:00,2011-05-27 21:59:00
TOR,CHW,9,8,4:17,22659,2011-05-28 15:07:00,2011-05-28 19:24:00
TOR,CHW,13,4,2:33,18325,2011-05-29 13:07:00,2011-05-29 15:40:00
TOR,CLE,11,1,2:21,12902,2011-05-30 19:07:00,2011-05-30 21:28:00
TOR,CLE,3,6,3:01,14556,2011-05-31 19:07:00,2011-05-31 22:08:00
TOR,CLE,9,13,3:12,15397,2011-06-01 19:07:00,2011-06-01 22:19:00
TOR,BOS,1,5,3:03,28588,2011-06-10 19:07:00,2011-06-10 22:10:00
TOR,BOS,4,16,3:35,39437,2011-06-11 15:07:00,2011-06-11 18:42:00
TOR,BOS,1,14,2:54,30364,2011-06-12 13:07:00,2011-06-12 16:01:00
TOR,BAL,6,5,3:47,15592,2011-06-14 19:07:00,2011-06-14 22:54:00
TOR,BAL,4,1,2:27,14541,2011-06-15 19:07:00,2011-06-15 21:34:00
TOR,BAL,3,4,2:31,31822,2011-06-16 12:37:00,2011-06-16 15:08:00
TOR,PIT,6,7,3:11,17085,2011-06-28 19:07:00,2011-06-28 22:18:00
TOR,PIT,2,1,2:42,15632,2011-06-29 19:07:00,2011-06-29 21:49:00
TOR,PIT,2,6,2:35,14939,2011-06-30 19:07:00,2011-06-30 21:42:00
TOR,PHI,6,7,3:02,45512,2011-07-01 12:37:00,2011-07-01 15:39:00
TOR,PHI,3,5,2:49,44078,2011-07-02 15:07:00,2011-07-02 17:56:00
TOR,PHI,7,4,2:26,26204,2011-07-03 13:07:00,2011-07-03 15:33:00
TOR,NYY,16,7,2:59,37342,2011-07-14 19:07:00,2011-07-14 22:06:00
TOR,NYY,7,1,3:01,33525,2011-07-15 19:07:00,2011-07-15 22:08:00
TOR,NYY,1,4,2:56,45606,2011-07-16 15:07:00,2011-07-16 18:03:00
TOR,NYY,2,7,2:50,36586,2011-07-17 13:07:00,2011-07-17 15:57:00
TOR,SEA,6,5,4:21,15957,2011-07-19 19:07:00,2011-07-19 23:28:00
TOR,SEA,11,6,2:42,18093,2011-07-20 19:07:00,2011-07-20 21:49:00
TOR,SEA,7,5,2:37,23146,2011-07-21 12:37:00,2011-07-21 15:14:00
TOR,BAL,4,12,3:07,17477,2011-07-26 19:07:00,2011-07-26 22:14:00
TOR,BAL,3,0,2:46,16861,2011-07-27 19:07:00,2011-07-27 21:53:00
TOR,BAL,8,5,2:48,16152,2011-07-28 19:07:00,2011-07-28 21:55:00
TOR,TEX,3,2,2:31,19287,2011-07-29 19:07:00,2011-07-29 21:38:00
TOR,TEX,0,3,2:29,22560,2011-07-30 15:07:00,2011-07-30 17:36:00
TOR,TEX,7,3,2:42,45629,2011-07-31 13:07:00,2011-07-31 15:49:00
TOR,OAK,1,4,2:31,20521,2011-08-09 19:07:00,2011-08-09 21:38:00
TOR,OAK,8,4,3:01,19541,2011-08-10 19:07:00,2011-08-10 22:08:00
TOR,OAK,3,10,3:22,27918,2011-08-11 12:37:00,2011-08-11 15:59:00
TOR,LAA,1,5,2:19,24731,2011-08-12 19:07:00,2011-08-12 21:26:00
TOR,LAA,11,2,2:39,27185,2011-08-13 15:07:00,2011-08-13 17:46:00
TOR,LAA,5,4,2:52,23355,2011-08-14 13:07:00,2011-08-14 15:59:00
TOR,KCR,4,6,2:53,20009,2011-08-23 19:07:00,2011-08-23 22:00:00
TOR,KCR,4,3,2:46,18292,2011-08-24 19:07:00,2011-08-24 21:53:00
TOR,KCR,6,9,3:16,17355,2011-08-25 19:07:00,2011-08-25 22:23:00
TOR,TBR,1,6,2:40,20491,2011-08-26 19:07:00,2011-08-26 21:47:00
TOR,TBR,5,6,3:24,24052,2011-08-27 15:07:00,2011-08-27 18:31:00
TOR,TBR,0,12,3:16,21618,2011-08-28 13:07:00,2011-08-28 16:23:00
TOR,TBR,7,3,3:02,19725,2011-08-29 19:07:00,2011-08-29 22:09:00
TOR,BOS,1,0,3:51,27573,2011-09-05 12:37:00,2011-09-05 16:28:00
